,Data transferring sheet,,Please do not manually edit this sheet! All of these values are picked from other sheets. Only add data to this sheet by referencing other data.,,,,,,,,,,,,,,,,,
,1. Export as CSV ,,,,,,,,,,,,,,,,,,,
,2. Run the recreate_database.js script ,,,,,,,,,,,,,,,,,,,
,(see github project readme),,,,,,,,,,,,,,,,,,,
,updated 02/14/21 by glottsi,,,,,,,,,,,,,,,,,,,
Total,Complete data,Incomplete,,,,,,,,,,,,,,,,,,
37,3,34,,,,,,,,,,,,,,,,,,
,Incomplete data,user_name,nickname,is_partner,stream_start_date,avg_viewers,followers,languages,ethnicity,categories,chat_vibes,stream_vibes,uses_cam,streams_per_week,avg_start_time,mature_stream,avg_stream_duration,chat_mode,gender,logo
,3,lessa_tv,lessa,N,05/18/2018,185,"7,654",KR/EN,Korean,"Just Chatting, Games, ASMR, ",spam emotes/chatty/nonswearing/wholesome,,Cam,,,FALSE,4,Anyone,F,https://static-cdn.jtvnw.net/jtv_user_pictures/dca1bd87-4f21-4aaf-b109-c0b0b113058b-profile_image-300x300.jpg
,3,lilypichu,lily,Y,07/18/2015,"10,363","1,350,554",EN,Korean,"Just Chatting, Music, Game",chill/comfy/fast/nonswearing/wholesome ,,Cam,,,FALSE,4,follower only,F,https://static-cdn.jtvnw.net/jtv_user_pictures/lilypichu-profile_image-9a1ba797a9721716-300x300.png
,5,litahry,lita,Y,01/10/2017,190,"37,864",EN/CN,Chinese New Zealanders,"Just Chatting, Game",,,Cam,,,FALSE,,Follower only,F,https://static-cdn.jtvnw.net/jtv_user_pictures/9e5ed9dc-f1ad-4f1f-9a56-5634555ce785-profile_image-300x300.png
,2,Loverococo,coco,Y,02/19/2019,104,"13,108",KR/EN,Korean Canadian,"Just Chatting, Games",chill/friendly/nonswearing/serious/wholesome,,Cam,5,9:00,FALSE,,Anyone,F,https://static-cdn.jtvnw.net/jtv_user_pictures/5106e044-0d14-452e-b2fe-af4443c396d0-profile_image-300x300.png
,3,Makiimai,May (Makii),N,12/01/2019,50,"4,076",EN,Chinese Croatian,"Art, Games, Just Chatting, Travel & Outdoors",,,Cam,7,,FALSE,4,Anyone,F,https://static-cdn.jtvnw.net/jtv_user_pictures/3f37a619-1bb6-4eda-a1cc-bc178d04658a-profile_image-300x300.png
,2,marieantte,mari,Y,11/06/2016,25,"25,605",EN/KR,Korean,Game,dorky/friendly/quiet/serious/weird,,Cam,6,,FALSE,4,Anyone,F,https://static-cdn.jtvnw.net/jtv_user_pictures/d3801962-b4df-4c32-9be5-f87e52a21faf-profile_image-300x300.png
,2,Meimeikyu,Mei,N,06/29/2019,18,"1,235",KR,Korean,"Just Chatting, Music, Travel & Outdoors",,,Cam,3,21:00,FALSE,10,Anyone,F,https://static-cdn.jtvnw.net/jtv_user_pictures/98cb8e09-b180-4bad-a94c-2be89793fc9a-profile_image-300x300.png
,3,MsMingLifestyle,Ming,N,06/10/2019,22,864,EN/CN,Chinese,"Just Chatting, Games, Fitness & Health, Food & Drink",,,Cam,5,23:00,FALSE,,Anyone,F,https://static-cdn.jtvnw.net/jtv_user_pictures/63d3dade-eda1-406e-921d-198195e0602e-profile_image-300x300.png
,4,Natsumiii,Wendy,Y,07/17/2015,737,"145,869",EN,Chinese Canadian,Game,,,Cam,,,FALSE,4,Anyone,F,https://static-cdn.jtvnw.net/jtv_user_pictures/7ae2c6f1-5b4d-4fe0-aed4-621c962554d0-profile_image-300x300.png
,2,NegiNeko_Tokyo,Negi,N,04/30/2020,53,"1,760",JP/EN,Japanese,"Just Chatting, Travel & Outdoors",friendly/nonswearing/troll/wholesome,,Cam,6,11:00,FALSE,,Follower only,F,https://static-cdn.jtvnw.net/jtv_user_pictures/02c12d9e-4308-40fa-a51b-4d7899fd375e-profile_image-300x300.png
